StudentId,STATEATTEND1,STATEATTEND2,STATE
ca4f1d7e-2552-454e-97a5-29d8a241e2d0,ACTSTATEATTEND1OK,ACTSTATEATTEND2TX,"DECSTATEOK,DECSTATETX"
06e1d950-bc31-45b6-955b-ad15eeaf29c6,,,
a4c8b951-7e36-479c-bd4c-8569ccb25c77,,,
3fafe326-a97a-4187-b4ea-74f05a3f547d,,,"DECSTATECA,DECSTATEFL,DECSTATENY"
66a48020-bc2e-484a-902c-409958b60b52,ACTSTATEATTEND1NY,ACTSTATEATTEND2NJ,
8c36980b-4c24-4105-affe-66c6363e8591,,,"DECSTATEIL,DECSTATEKY,DECSTATETN"
9fa56380-013c-4cb3-93e1-876e36259c93,ACTSTATEATTEND1TN,,"DECSTATECA,DECSTATEIL,DECSTATENY"
c3dd612f-2a1c-4dd6-8042-eb17a8d8e1a3,,,DECSTATECA
66953edf-0e61-48f1-bc40-2c9095104bb0,ACTSTATEATTEND1TN,ACTSTATEATTEND2KY,
210ddfe8-1f8a-4f80-a0c5-18df30efd14b,,,DECSTATEAZ
54739535-3b22-4c5d-b159-8ca9f7958093,,,
5ef58b8f-7795-4b61-a8d9-50682669f36a,,,DECSTATEPA
b0d7d6c6-bf69-4c5a-b373-75db1a3810c3,ACTSTATEATTEND1WI,ACTSTATEATTEND2AZ,
61597ffe-3e93-43db-a6a5-25e4a67c8260,ACTSTATEATTEND1MN,,
e750f7d9-7295-49fb-8758-811c5b3bd252,,,
d592b901-402e-419c-ac85-aadd5e3d49b2,,,"DECSTATECO,DECSTATEFL,DECSTATEKS"
a90473ef-63b1-4316-a175-b2166d7d6fec,,,DECSTATETX
cac62d90-2ef0-4bf8-b365-9b265bd7c8c1,,,"DECSTATECA,DECSTATEGA,DECSTATETX"
fe07ac66-ba9e-4300-8220-2be3beece400,ACTSTATEATTEND1SC,ACTSTATEATTEND2NC,"DECSTATECA,DECSTATENJ,DECSTATESC"
273f3bfc-3ffc-43b3-a836-d71a21013ca7,,,"DECSTATEGA,DECSTATENY,DECSTATEVA"
d080dedc-2e06-4be2-92fe-7ed6659894d8,,,DECSTATETX
16c123a6-2a11-445f-829e-ea4a97fc87ac,,,
0db9d8d4-97aa-44bd-a569-fdc0a58990a1,ACTSTATEATTEND1WA,ACTSTATEATTEND2MA,
1fd7a011-51ea-4825-97a4-000805039b22,,,
7c58927a-8c5b-408e-9346-032e71684530,ACTSTATEATTEND1KY,ACTSTATEATTEND2AL,
8351832b-be77-49af-b427-25a5d704fc83,ACTSTATEATTEND1LA,,
cca0aff3-3b4d-427f-8d3a-91e4afaf81f4,ACTSTATEATTEND1AL,,
895b72de-1c37-466d-8cc4-e963c2a9854d,,,
eefed92c-783e-4e32-99b9-9c50faf07ffa,,,"DECSTATEGA,DECSTATEOK,DECSTATETX"
c08b6a08-053e-4e18-bf93-b775d3fbf54c,ACTSTATEATTEND1GA,ACTSTATEATTEND2FL,
5850919e-9fe5-459a-a3cc-54bb8a58f59e,ACTSTATEATTEND1NY,,
58318d4f-8e91-4297-9c49-e09530853750,,,
1139451a-b75c-414d-8cf3-06c8c487899f,,,"DECSTATEGA,DECSTATEPA,DECSTATETX"
2baf6252-edae-4562-8b89-a01b3b8dd22a,ACTSTATEATTEND1GA,ACTSTATEATTEND2MD,
1c25e54c-81c5-4800-9c71-408b7a067cac,ACTSTATEATTEND1NY,ACTSTATEATTEND2PA,
700c84b5-0541-40be-8a67-b2acee0a9594,,,
46a16316-14e5-4bd5-8792-2fc1ebf4d4c5,ACTSTATEATTEND1TN,,"DECSTATECA,DECSTATEPA,DECSTATETN"
f830e619-ec16-4ec7-bfed-d18575497fbd,,,"DECSTATEAZ,DECSTATEUT"
dd347e6d-59c0-49a1-8964-33943ba54dc9,,,"DECSTATENE,DECSTATESD,DECSTATEWY"
6fe30cce-c546-40cb-ab5f-333632056373,,,"DECSTATEAL,DECSTATEMI,DECSTATETX"
3432948c-817d-45ed-b455-7723ed485653,ACTSTATEATTEND1CA,,
eb4a78e8-3e47-45ce-8d87-2b8a38209be0,,,"DECSTATEOH,DECSTATEPA,DECSTATEWV"
f55977ee-c245-49fc-9b4d-45c36ed886c1,,,"DECSTATECA,DECSTATEFL,DECSTATENY"
1647462f-5e75-48e7-8995-3d21adb6d23b,,,
200b27de-4f43-4973-a530-c69fcfde9a19,,,DECSTATEOH
0aead0f7-7a8e-43de-8fc0-912607db76db,,,
ee4d03da-d00b-4357-a0e8-82f95e463506,ACTSTATEATTEND1FL,ACTSTATEATTEND2TX,
6ac0fac5-0e9f-416e-9df6-36f514d7a852,ACTSTATEATTEND1NY,ACTSTATEATTEND2NY,
7785238d-cce2-412f-93fe-206fb6cb3e0d,,,
969310ee-5d8e-48a6-a8b4-b72a86b94bc8,,,
7428610f-873c-497d-a16f-6444de2faa0c,,,
7ad3dcd0-d0f2-4b50-b9a3-d1000edf45c0,,,
7e59505e-ba0d-4d3b-b722-2211dcdb7e60,,,"DECSTATEAZ,DECSTATEFL"
0e433284-00d9-4b5b-a128-d36a79ee5484,,,DECSTATEIL
0dc8bf26-e167-4f87-85d2-0ae2d2b27506,,,
98b42849-c1c7-4bac-9b38-197fb8345fac,,,"DECSTATECO,DECSTATENE"
ef482142-c858-4005-8b99-29effe134629,ACTSTATEATTEND1AL,ACTSTATEATTEND2GA,"DECSTATEAL,DECSTATEFL,DECSTATEGA"
bab4e300-ae2a-4282-8b7d-345ec26563ce,,,
4cf7b0a8-c2a0-4395-b0df-906204e1c233,,,
b261e58d-814d-42ba-9783-d6f28d70d48a,,,"DECSTATEMN,DECSTATETN"
25bd8f53-9d86-48ab-96b2-db158c8efb94,,,
1af2da6d-1a62-4935-8de0-e643c312d722,,,"DECSTATEFL,DECSTATENY,DECSTATETX"
c0bd3e2a-3ec5-4f29-b45a-5e7081763959,,,"DECSTATECT,DECSTATEMA,DECSTATENY"
5082e448-1674-467d-910f-1d3051499e9c,ACTSTATEATTEND1AL,,
876b074d-dfe7-4217-9ab7-810ebc100476,,,
87ad22f8-0210-4237-8755-0a84bffef2a0,,,"DECSTATEFL,DECSTATEOK,DECSTATETX"
af2d0fdf-98d9-4a29-accd-eb5fb99172d2,,,
2993e41c-fcc0-47d2-82e9-54b2aa495bf6,,,
0f335f42-24bc-4f98-8302-59f7e9081993,,,
0bac27f3-0fac-4bf6-98f7-7260f7f32f64,ACTSTATEATTEND1DC,ACTSTATEATTEND2GA,
b6b57d2c-02e1-4ad3-8397-cc1c997ce6cc,ACTSTATEATTEND1TX,ACTSTATEATTEND2CA,"DECSTATECA,DECSTATENY,DECSTATETX"
41f98052-d0be-403f-98d5-c1637eabcb58,,,
360d5eca-0096-4e6d-a437-9c45877d65fa,,,"DECSTATEFL,DECSTATENC,DECSTATENJ"
5cdee30a-12bc-483b-8df0-d6ea83aed74a,,,"DECSTATEAL,DECSTATENC"
fa87fdb7-ba39-4432-8b30-dd782fb3708c,,,"DECSTATENV,DECSTATETX"
bfe8c642-9167-4242-8891-665a35184902,ACTSTATEATTEND1MN,ACTSTATEATTEND2WI,
89bd20b2-481d-4f26-b7d7-8c565a0d036a,,,"DECSTATEIL,DECSTATENY,DECSTATEPA"
09b99048-139f-493e-ac54-ab4363add9ce,ACTSTATEATTEND1CA,ACTSTATEATTEND2MS,
3d566dcd-e501-4887-b9e2-1937d7496c9e,ACTSTATEATTEND1LA,ACTSTATEATTEND2LA,"DECSTATELA,DECSTATEMI,DECSTATENY"
5ee5d9e6-99cd-45e3-9108-b301b5cde4c5,,,
5805c360-e66a-458d-aa47-08e4846286ae,,,"DECSTATEOH,DECSTATEPA"
38c561a2-f36f-424c-9db5-61915fc9e855,,,
744d8185-5ff6-49b9-8317-f4c3545de099,,,"DECSTATECA,DECSTATEFL,DECSTATEIL"
b5d50ef5-0f23-4add-9e06-9deb270a1c38,ACTSTATEATTEND1MT,ACTSTATEATTEND2CO,"DECSTATEMT,DECSTATENM,DECSTATETX"
b896a125-4345-4f6d-b50a-62983e4f3d6f,,,
e9dca39e-0302-4e83-9b69-ee9152d3e45e,,,"DECSTATENJ,DECSTATEPA"
3d2273e1-3225-4486-ba7a-bf65467ac5c1,,,"DECSTATECO,DECSTATEIN,DECSTATEOH"
01d43759-b946-4615-83e9-41d5e1f53c5e,ACTSTATEATTEND1AR,ACTSTATEATTEND2OTHER,
9a9eaecf-2719-4620-bb1e-1033fab1da33,,,
684674dd-5965-44e0-a554-242ef0a9b83d,,,"DECSTATEAL,DECSTATEFL,DECSTATEWV"
e4f118e7-5039-4ab8-b43c-22fa877b6b9b,,,"DECSTATEKY,DECSTATEOH,DECSTATEWV"
f16297f9-1fdb-4667-8f4b-dbb9e38e15e1,,,
0b2b7420-d667-4a22-b9e4-0f8657a93a49,,,
5ef1b0f6-8bb2-46ae-8948-fb5886133b21,,,
300047af-28a8-4214-a7a6-138ea5905f58,,,DECSTATENC
4174ecc1-85d1-4278-9ec5-d1e15879371c,,,"DECSTATEMA,DECSTATETX"
c00ff8a1-bda2-471e-b11e-346451dd84a9,ACTSTATEATTEND1WI,,
8a3de3f0-e6e9-4d91-a53b-fafcbe1029fe,,,
5747c299-bc41-4f1b-8c3e-c2ac171aeaf3,ACTSTATEATTEND1MN,ACTSTATEATTEND2SD,
81742298-3d2f-438c-a0d0-2d8f4047d974,,,
8df7e915-a8c7-4476-b9c3-45453f720eaa,ACTSTATEATTEND1NE,ACTSTATEATTEND2NE,
b2e0d0c3-2d94-4d39-abed-04ef87479ca4,ACTSTATEATTEND1TX,,
b6cc899b-171e-4f1c-81a5-09ae111beed6,,,"DECSTATEGA,DECSTATEIN,DECSTATETN"
6b6f83ea-27b1-4451-94e0-4a937e1c0b86,,,"DECSTATEFL,DECSTATELA"
dcd66e7e-91cb-43ba-9ca6-c817f62b5d28,,,
2ee0ed06-87c9-4400-9e78-c4ee735269b4,,,"DECSTATENC,DECSTATESC,DECSTATEVA"
394babd0-2a81-4e29-b11d-c557e65a39c2,,,"DECSTATEIN,DECSTATEKY,DECSTATETN"
5ae28a1d-11c1-4f80-8a97-9ddbc75bce1a,,,"DECSTATECA,DECSTATEMI,DECSTATEOR"
5a8383ed-5471-4045-885e-3ee2fa6b8cb0,ACTSTATEATTEND1AL,ACTSTATEATTEND2TN,
39009dd5-4563-46f7-9598-6110be4d43ef,ACTSTATEATTEND1MA,,
bb34445c-0c78-45e3-983f-12aaf5fdac9a,,,
7215be96-f801-4dd0-8108-3da3d81acb35,ACTSTATEATTEND1MI,ACTSTATEATTEND2OH,
503a62e4-0e5c-4450-996a-70729eb92981,ACTSTATEATTEND1GA,ACTSTATEATTEND2GA,
8c7849ba-3e75-447c-a0b0-a1db80b00aaa,ACTSTATEATTEND1IL,ACTSTATEATTEND2IA,
4b093909-29ab-43e6-8171-165826af6ac5,ACTSTATEATTEND1MA,ACTSTATEATTEND2CA,
77f9ae5d-5860-4c96-8b62-ac3867819dfb,,,
8cc108bf-e30c-4cd9-9aef-615f32b91706,,,"DECSTATECA,DECSTATENY,DECSTATEPA"
60d8f437-c10c-41f6-a87d-4945cb69e846,ACTSTATEATTEND1CA,ACTSTATEATTEND2NY,
292520be-b463-46e4-9051-b4382566e5a8,,,"DECSTATEIL,DECSTATEIN,DECSTATEOH"
48ed1fa6-ae07-4aff-8ace-1d7e8de594dc,,,DECSTATEUT
b5f3368f-de0b-4b71-8f52-830efb4f44e8,,,DECSTATECA
534f5d3e-f9e2-4a74-bfea-d76d304ab62b,,,
f4968c4b-f8cc-40ac-a6d2-1e32869d4801,ACTSTATEATTEND1FL,ACTSTATEATTEND2MS,"DECSTATECA,DECSTATEMS,DECSTATENY"
a4879467-5910-4b80-b692-2d63e3d3e424,,,"DECSTATECA,DECSTATEGA,DECSTATENY"
8df6a123-051a-401c-9615-eba7141340af,,,"DECSTATECA,DECSTATENY,DECSTATETX"
40e159fd-3eb7-4da2-a074-f527b24a4de1,,,
7314494b-1fff-4289-a700-a714016838c2,,,"DECSTATEFL,DECSTATELA,DECSTATEOH"
6c305724-bd20-4a9e-878a-1ba1526f0f7f,,,
5c8c5ee0-4143-44fa-9719-4eba47d5643f,,,"DECSTATEAZ,DECSTATECA,DECSTATENV"
f2312c91-b9af-4f22-9737-c22af1f4274f,,,"DECSTATECA,DECSTATECO,DECSTATEMA"
9f6cbf1c-8aa8-44c1-89a1-7929b1ab8a34,,,
8e3561f8-3c87-4a1b-bad5-7b564b643c8f,,,"DECSTATEFL,DECSTATEPA,DECSTATEVA"
e01d3dce-7789-420a-8799-5b4f37d6617f,ACTSTATEATTEND1MN,,
1e60572d-d652-4ef6-81f7-58afd6abaf13,,,"DECSTATECA,DECSTATEMA,DECSTATERI"
0a768c67-87a7-465c-8025-d50c3d4e7d3f,,,"DECSTATEOH,DECSTATEPA,DECSTATEWV"
